tweet_id,timestamp,source,expanded_urls,rating_numerator,rating_denominator,name,dog_stage,jpg_url,img_num,img_predictions,img_confidence_level,favourites_count,retweet_count,followers_count,created_at
726887082820554753,2016-05-01 21:32:40+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/726887082820554753/photo/1,10.0,10.0,Blitz,None,https://pbs.twimg.com/media/ChZr8SdWIAAVQKt.jpg,1,soft-coated_wheaten_terrier,0.5159189999999999,114031,1677,3201018,Sun May 01 21:32:40 +0000 2016
726828223124897792,2016-05-01 17:38:46+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/726828223124897792/photo/1,12.0,10.0,Bloop,None,https://pbs.twimg.com/media/ChY2aHyWMAAbNQE.jpg,1,miniature_pinscher,0.2553269999999999,114031,1124,3201018,Sun May 01 17:38:46 +0000 2016
725842289046749185,2016-04-29 00:21:01+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/725842289046749185/photo/1,12.0,10.0,Colby,None,https://pbs.twimg.com/media/ChK1tdBWwAQ1flD.jpg,1,toy_poodle,0.420463,114031,2970,3201018,Fri Apr 29 00:21:01 +0000 2016
725786712245440512,2016-04-28 20:40:11+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/725786712245440512/photo/1,11.0,10.0,Lillie,pupper,https://pbs.twimg.com/media/ChKDKmIWIAIJP_e.jpg,1,chow,0.335761,114031,1527,3201018,Thu Apr 28 20:40:11 +0000 2016
725729321944506368,2016-04-28 16:52:08+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/725729321944506368/photo/1,12.0,10.0,Lola,None,https://pbs.twimg.com/media/ChJO9YaWYAEL0zC.jpg,1,boxer,0.599076,114031,2009,3201018,Thu Apr 28 16:52:08 +0000 2016
724983749226668032,2016-04-26 15:29:30+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/724983749226668032/photo/1,12.0,10.0,Fred,None,https://pbs.twimg.com/media/Cg-o3w0WgAANXdv.jpg,1,golden_retriever,0.67575,114031,1462,3201018,Tue Apr 26 15:29:30 +0000 2016
724405726123311104,2016-04-25 01:12:38+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/724405726123311104/photo/1,10.0,10.0,Ashleigh,pupper,https://pbs.twimg.com/media/Cg2bKLAWwAA0WEm.jpg,1,golden_retriever,0.240695,114031,1847,3201018,Mon Apr 25 01:12:38 +0000 2016
724049859469295616,2016-04-24 01:38:33+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/724049859469295616/photo/1,10.0,10.0,Kreggory,None,https://pbs.twimg.com/media/CgxXf1TWYAEjY61.jpg,1,Border_collie,0.581835,114031,1984,3201018,Sun Apr 24 01:38:33 +0000 2016
724046343203856385,2016-04-24 01:24:35+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/724046343203856385/photo/1,10.0,10.0,Sarge,None,https://pbs.twimg.com/media/CgxUTS_XEAAC0pv.jpg,1,boxer,0.8262719999999999,114031,620,3201018,Sun Apr 24 01:24:35 +0000 2016
724004602748780546,2016-04-23 22:38:43+00:00,Twitter for iPhone,"https://twitter.com/dog_rates/status/724004602748780546/photo/1,https://twitter.com/dog_rates/status/724004602748780546/photo/1,https://twitter.com/dog_rates/status/724004602748780546/photo/1",11.0,10.0,Luther,pupper,https://pbs.twimg.com/media/CgwuWCeW4AAsgbD.jpg,3,pug,0.0188769,114031,1790,3201018,Sat Apr 23 22:38:43 +0000 2016
